Epernay,27649,49.04N,3.95E
Epinal,40584,48.18N,6.44E
Epinay-sous-Senart,12970,48.68N,2.51E
Epinay-sur-Orge,9688,48.67N,2.33E
Epinay-sur-Seine,46459,48.97N,2.30E
Equeurdreville-Hainneville,18971,49.66N,1.65W
Eragny,15274,49.02N,2.10E
Ermont,28889,49.00N,2.25E
Erstein,9592,48.43N,7.67E
Escaudain,9549,50.33N,3.34E
Etampes,24158,48.44N,2.16E
Etaples,11449,50.52N,1.64E
Evreux,60604,49.03N,1.14E
Evry,58901,48.64N,2.44E
Eybens,10758,45.15N,5.75E
Eysines,23523,44.88N,0.66W
Faches-Thumesnil,16302,50.58N,3.07E
Fache-Thumesnil,16207,50.59N,3.07E
Fameck,11817,49.30N,6.12E
Fecamp,22267,49.76N,0.38E
Feyzin,10504,45.67N,4.85E
Figeac,12369,44.61N,2.01E
Firminy,16541,45.40N,4.28E
Flers,17191,48.76N,0.57W
Fleury-les-Aubrais,21334,47.93N,1.93E
Fleury-Merogis,9331,48.64N,2.37E
Floirac,16480,44.84N,0.54W
Florange,10608,49.33N,6.12E
Foix,9943,42.97N,1.60E
Fondettes,9991,47.40N,0.60E
Fontaine,25376,45.18N,5.65E
Fontainebleau,21803,48.42N,2.70E
Fontaine-les-Dijon,9370,47.35N,5.02E
Fontenay-aux-Roses,25795,48.78N,2.28E
Fontenay-le-Comte,17360,46.47N,0.80W
Fontenay-le-Fleury,12737,48.82N,2.05E
Fontenay-sous-Bois,53312,48.85N,2.50E
Forbach,19770,49.19N,6.90E
Fosses,11148,49.10N,2.48E
Fos-sur-Mer,20051,43.44N,4.95E
Fougeres,24825,48.36N,1.22W
Fourmies,14061,50.02N,4.05E
Francheville,12570,45.74N,4.77E
Franconville,35321,48.98N,2.22E
Frejus,58391,43.45N,6.73E
Fresnes,24736,48.75N,2.32E
Freyming-Merlebach,14310,49.15N,6.79E
Frontignan,24630,43.46N,3.74E
Gagny,39849,48.89N,2.53E
Gaillac,13601,43.91N,1.90E
Gaillard,13286,46.18N,6.22E
Gap,46887,44.57N,6.08E
Garches,19761,48.84N,2.17E
Gardanne,22654,43.45N,5.45E
Garges-les-Gonesse,40093,48.97N,2.41E
Genas,14455,45.74N,5.00E
Gennevilliers,42538,48.93N,2.31E
Gentilly,15969,48.82N,2.33E
Gerardmer,10521,48.08N,6.88E
Gerzat,9502,45.84N,3.15E
Gex,10560,46.33N,6.07E
Gien,15879,47.69N,2.63E
Gif-sur-Yvette,25601,48.68N,2.13E
Gisors,13415,49.28N,1.77E
Givors,17825,45.60N,4.77E
Gonesse,28801,48.99N,2.45E
Gonfreville-l'Orcher,9760,49.50N,0.22E
Goussainville,32849,49.02N,2.47E
Gouvieux,9652,49.19N,2.42E
Gradignan,25493,44.76N,0.62W
Grand-Couronne,9432,49.35N,1.00E
Grande-Synthe,22885,51.01N,2.28E
Granville,14900,48.85N,1.59W
Grasse,50497,43.67N,6.92E
Graulhet,13057,43.77N,1.99E
Graveline,13442,50.99N,2.12E
Grenoble,160529,45.19N,5.72E
Grigny,25581,48.65N,2.39E
Guebwiller,13056,47.92N,7.21E
Guerande,18962,47.33N,2.43W
Gueret,16689,46.17N,1.87E
Guidel,10458,47.79N,3.49W
Guilherand-Granges,11758,44.94N,4.85E
Guipavas,14776,48.43N,4.40W
Gujan-Mestras,22935,44.64N,1.07W
Guyancourt,39502,48.77N,2.06E
Haguenau,43044,48.82N,7.78E
Halluin,21142,50.79N,3.13E
Harnes,13355,50.45N,2.89E
Haubourdin,16214,50.61N,2.98E
Hautmont,14969,50.26N,3.91E
Hayange,15495,49.33N,6.06E
Hazebrouck,24350,50.73N,2.53E
Hem,19572,50.66N,3.19E
Hendaye,15605,43.37N,1.77W
Henin-Beaumont,25128,50.41N,2.93E
Hennebont,14880,47.82N,3.26W
Herblay,26921,49.00N,2.16E
Hericourt,11497,47.58N,6.74E
Herouville-Saint-Clair,23947,49.21N,0.34W
Hirson,11487,49.93N,4.08E
Hoenheim,10974,48.63N,7.75E
Hombourg-Haut,9767,49.12N,6.78E
Houilles,32438,48.92N,2.18E
Hyeres,48427,43.13N,6.12E
Ifs,9832,49.13N,0.35W
Igny,10572,48.74N,2.21E
Illkirch-Graffenstaden,28972,48.53N,7.70E
Illzach,15352,47.79N,7.33E
Isbergues,10140,50.62N,2.45E
Issoire,17008,45.55N,3.24E
Issoudun,14644,46.95N,2.00E
Issy-les-Moulineaux,69876,48.83N,2.26E
Istres,48579,43.51N,4.98E
Ivry-sur-Seine,64006,48.82N,2.38E
Jarville-la-Malgrange,10362,48.68N,6.22E
Jeumont,10957,50.31N,4.10E
Joigny,12193,48.00N,3.40E
Joinville-le-Pont,19164,48.82N,2.46E
Joue-les-Tours,37895,47.36N,0.65E
Jouy-le-Moutier,20383,49.02N,2.03E
Juvisy-sur-Orge,12890,48.68N,2.38E
Kingersheim,13127,47.80N,7.32E
La Baule-Escoublac,19285,47.29N,2.40W
La Celle-Saint-Cloud,21660,48.85N,2.15E
La Chapelle-Saint-Luc,14904,48.33N,4.05E
La Chapelle-Saint-Mesmin,9922,47.88N,1.83E
La Chapelle-sur-Erdre,20320,47.31N,1.56W
La Ciotat,34430,43.18N,5.59E
La Courneuve,39386,48.93N,2.38E
La Crau,21170,43.15N,6.07E
La Ferte-Bernard,10730,48.18N,0.65E
La Ferte-sous-Jouarre,10298,48.95N,3.13E
La Fleche,20349,47.70N,0.08W
La Garde,30920,43.14N,6.03E
La Garenne-Colombes,28863,48.91N,2.24E
Lagny-sur-Marne,21898,48.88N,2.70E
La Londe-les-Maures,10132,43.13N,6.23E
La Madeleine,24318,50.65N,3.07E
Lamballe,13622,48.47N,2.52W
Lambersart,28782,50.66N,3.03E
La Motte-Servolex,15368,45.60N,5.88E
Landerneau,17114,48.46N,4.26W
Lanester,25784,47.77N,3.35W
Lannion,23810,48.75N,3.47W
Laon,29497,49.58N,3.63E
La Queue-en-Brie,12873,48.79N,2.58E
Larmor-Plage,9643,47.70N,3.38W
La Rochelle,74760,46.17N,1.18W
La Roche-sur-Foron,10768,46.07N,6.32E
La Roche-sur-Yon,66462,46.67N,1.44W
La Seyne-sur-Mer,63919,43.11N,5.87E
La Teste-de-Buch,30233,44.63N,1.16W
La Trinite,10236,43.75N,7.32E
Lattes,20704,43.57N,3.90E
Laval,48167,48.07N,0.78W
La Valette-du-Var,24318,43.14N,5.99E
Lavaur,9537,43.70N,1.83E
Laxou,16654,48.69N,6.15E
Le Blanc-Mesnil,49698,48.96N,2.47E
Le Bourget,13374,48.94N,2.42E
Le Bouscat,25354,44.87N,0.62W
Le Cannet,44439,43.59N,7.01E
Le Chambon-Feugerolles,12658,45.39N,4.31E
Le Chesnay,29766,48.84N,2.12E
Le Creusot,24525,46.81N,4.42E
Leers,9909,50.69N,3.25E
Le Grand-Quevilly,25974,49.41N,1.03E
Le Havre,179841,49.50N,0.12E
Le Kremlin-Bicetre,32277,48.81N,2.33E
Le Mans,141159,48.00N,0.20E
Le Mee-sur-Seine,23005,48.53N,2.63E
Lens,39493,50.44N,2.83E
Leognan,9392,44.73N,0.60W
Le Passage,9687,44.20N,0.60E
Le Pecq,16797,48.90N,2.11E
Le Perreux-sur-Marne,34147,48.84N,2.48E
Le Petit-Quevilly,22568,49.43N,1.03E
Le Plessis-Robinson,23521,48.78N,2.25E
Le Plessis-Trevise,20719,48.81N,2.57E
Le Pont-de-Claix,12079,45.12N,5.69E
Le Pontet,16561,43.96N,4.84E
Le Portel,11289,50.72N,1.58E
Le Pradet,13547,43.11N,6.01E
Le Pre-Saint-Gervais,19152,48.89N,2.39E
Le Puy-en-Velay,23224,45.05N,3.88E
Le Raincy,13506,48.90N,2.50E
Le Relecq-Kerhoun,12706,48.41N,4.41W
Les Andelys,9878,49.25N,1.42E
Lescar,11110,43.33N,0.42W
Les Clayes-sous-Bois,18570,48.83N,1.98E
Les Herbiers,16858,46.88N,1.02W
Les Lilas,22022,48.89N,2.40E
Les Mureaux,32630,49.00N,1.90E
Les Pavillons-sous-Bois,21114,48.91N,2.48E
Les Pennes-Mirabeau,20577,43.41N,5.31E
Les Ponts-de-Ce,13910,47.42N,0.52W
Les Sables-d'Olonne,16983,46.51N,1.78W
Les Ulis,25902,48.67N,2.17E
Levallois-Perret,69540,48.90N,2.29E
Le Vesinet,17450,48.90N,2.13E
Lezignan-Corbieres,9535,43.20N,2.77E
L'Hay-les-Roses,31477,48.78N,2.33E
Libourne,25576,44.92N,0.25W
Lievin,34690,50.42N,2.77E
Lille,260840,50.64N,3.07E
Lillebonne,9820,49.53N,0.53E
Lillers,10274,50.56N,2.48E
Limay,21628,49.00N,1.74E
Limeil-Brevannes,20760,48.74N,2.48E
Limoges,147384,45.83N,1.25E
Limoux,11235,43.06N,2.21E
Lingolsheim,17453,48.56N,7.68E
Lisieux,24601,49.15N,0.26E
L'Isle-Adam,13821,49.11N,2.22E
L'Isle-d'Abeau,13742,45.62N,5.23E
L'Isle-sur-la-Sorgue,20528,43.94N,5.04E
Livry-Gargan,42054,48.92N,2.54E
Lognes,16888,48.84N,2.61E
Lomme,31161,50.65N,2.98E
Longjumeau,21621,48.71N,2.29E
Longuenesse,14305,50.74N,2.23E
Longvic,9667,47.28N,5.07E
Longwy,14491,49.53N,5.76E
Lons,15975,43.33N,0.41W
Lons-le-Saunier,21333,46.68N,5.53E
Loos,22658,50.61N,3.01E
Lorient,56062,47.74N,3.37W
Lormont,23130,44.87N,0.53W
Loudeac,11079,48.19N,2.77W
Lourdes,15802,43.10N,0.05W
Louviers,19276,49.22N,1.17E
Louvres,9895,49.03N,2.50E
Luce,17547,48.44N,1.45E
Lucon,10742,46.45N,1.17W
Lunel,29957,43.69N,4.13E
Luneville,21938,48.60N,6.49E
L'Union,13675,43.66N,1.48E
Lure,9667,47.69N,6.49E
Luxeuil-les-Bains,9393,47.82N,6.37E
Lyon,489005,45.76N,4.83E
Lys-lez-Lannoy,14373,50.67N,3.22E
Macon,34848,46.31N,4.81E
Magny-les-Hameaux,9682,48.73N,2.07E
Mainvillier,10754,48.45N,1.45E
Maisons-Alfort,56314,48.81N,2.44E
Maisons-Laffitte,23562,48.95N,2.14E
Maizieres-les-Metz,10209,49.21N,6.15E
Malakoff,29660,48.82N,2.30E
Mandelieu-la-Napoule,20594,43.56N,6.93E
Manosque,22446,43.84N,5.77E
Mantes-la-Jolie,45110,48.99N,1.70E
Mantes-la-Ville,20762,48.96N,1.70E
Marcq-en-Baroeul,39409,50.67N,3.07E
Marguerittes,9358,43.85N,4.45E
Marignane,37625,43.42N,5.22E
Marly,11573,49.07N,6.15E
Marly,11572,50.35N,3.55E
Marly-le-Roi,18082,48.87N,2.07E
Marmande,19718,44.50N,0.15E
Maromme,12220,49.48N,1.02E
Marquette-lez-Lille,10793,50.66N,3.07E
Marseille,779679,43.31N,5.37E
Martigues,47429,43.41N,5.04E
